safe_273_SAFE,0,0.4.10,2,202716
safe_274_SAFE,0,0.4.7,2,202808
safe_272_SAFE,124,0.4.24,150,829204
safe_275_SAFE,0,0.4.16,115,858632
safe_277_SAFE,0,0.4.18,2,203076
safe_278_SAFE,0,0.4.21,3,203008
safe_276_SAFE,1,0.4.19,109,694316
safe_279_SAFE,1,0.4.18,103,664292
safe_281_SAFE,1,0.4.18,105,1211656
safe_280_SAFE,1,0.4.24,147,1300392
safe_283_SAFE,0,0.4.4,2,202908
safe_282_SAFE,124,0.4.15,150,879416
safe_284_SAFE,1,0.4.16,142,684420
safe_286_SAFE,1,0.4.19,128,1166140
safe_287_SAFE,0,0.4.16,2,202996
safe_285_SAFE,124,0.4.24,150,952960
safe_289_SAFE,0,0.4.18,2,203612
safe_290_SAFE,0,0.4.23,114,1415304
safe_288_SAFE,1,0.4.23,127,2677140
safe_292_SAFE,0,0.4.2,2,203148
safe_293_SAFE,1,0.4.11,44,511844
safe_294_SAFE,0,0.4.2,2,202740
safe_295_SAFE,0,0.4.18,2,203428
safe_296_SAFE,0,0.4.21,2,203492
safe_291_SAFE,124,0.4.18,150,814804
safe_297_SAFE,1,0.4.11,142,1011108
safe_298_SAFE,124,0.4.18,151,1541732
safe_300_SAFE,0,0.4.24,13,241872
safe_299_SAFE,1,0.4.18,120,1168096
vuln_002_SC01,1,0.4.25,13,321248
vuln_001_SC01,1,0.4.24,29,389128
vuln_004_SC01,0,0.4.9,3,202708
vuln_005_SC01,0,0.4.9,2,202032
vuln_006_SC01,0,0.4.15,4,225920
vuln_003_SC01,1,0.4.22,19,359492
vuln_008_SC01,0,0.4.0,2,202712
vuln_007_SC01,1,0.4.24,6,316716
vuln_009_SC01,1,0.4.24,7,284736
vuln_010_SC01,1,0.4.23,80,603772
vuln_012_SC01,1,0.4.24,7,315872
vuln_011_SC01,1,0.4.22,118,995692
vuln_013_SC01,1,0.4.24,54,423276
vuln_014_SC01,1,0.4.24,20,502804
vuln_016_SC01,1,0.4.24,12,358184
vuln_017_SC01,1,0.4.24,7,320156
vuln_015_SC01,1,0.4.15,53,472556
vuln_019_SC05,0,0.4.9,2,202248
vuln_020_SC05,0,0.4.0,2,202548
vuln_021_SC05,0,0.4.25,2,214432
vuln_018_SC01,1,0.4.24,40,418528
