vuln_012_SC01,1,792,19228
vuln_013_SC01,1,795,19468
vuln_014_SC01,1,791,18668
vuln_015_SC01,0,29,14900
vuln_016_SC01,1,797,19252
vuln_017_SC01,1,791,19028
vuln_018_SC01,1,795,18968
vuln_019_SC05,0,58,16376
vuln_020_SC05,0,32,15404
vuln_021_SC05,1,794,19316
vuln_022_SC05,0,14,14148
vuln_023_SC05,1,818,23288
vuln_024_SC05,1,797,19356
vuln_025_SC05,1,975,46720
vuln_026_SC05,1,799,19672
vuln_027_SC05,1,790,19168
vuln_028_SC05,1,793,19252
vuln_029_SC05,0,18,14060
vuln_030_SC05,1,818,21204
vuln_031_SC05,1,796,20736
vuln_032_SC05,1,792,19456
vuln_033_SC05,1,792,19044
vuln_034_SC05,1,812,21848
vuln_035_SC05,0,15,13888
vuln_036_SC06,1,801,19660
vuln_037_SC06,1,794,19368
vuln_038_SC06,1,4292,27364
vuln_039_SC06,1,811,22836
vuln_040_SC06,1,799,19144
vuln_041_SC06,1,793,18956
vuln_042_SC08,1,799,20364
vuln_043_SC08,1,804,19896
vuln_044_SC08,1,795,19568
vuln_045_SC08,1,803,19792
vuln_046_SC08,1,1014,55196
vuln_047_SC08,0,18,14128
vuln_048_SC08,1,809,20224
vuln_049_SC08,1,798,19508
vuln_050_SC08,0,19,14224
vuln_051_SC08,1,804,22028
vuln_052_SC08,1,805,20460
vuln_053_SC08,1,800,19752
vuln_054_SC08,1,795,19332
vuln_055_SC08,0,11,13772
vuln_056_SC08,1,811,21708
vuln_057_SC08,1,792,19432
vuln_058_SC08,1,802,22144
vuln_059_SC08,1,795,19396
vuln_060_SC08,0,19,13940
vuln_061_SC08,1,805,19968
vuln_062_SC08,0,16,14228
vuln_063_SC08,1,800,19912
vuln_064_SC08,1,802,19512
vuln_065_SC08,1,806,21556
vuln_066_SC08,0,10,13896
vuln_067_SC08,1,803,19260
vuln_068_SC08,1,799,20224
vuln_069_SC08,1,800,19700
vuln_070_SC08,1,794,19328
vuln_071_SC08,1,804,21868
vuln_072_SC09,1,789,18748
vuln_073_SC09,1,789,19172
vuln_074_SC09,1,801,20004
vuln_075_SC09,1,4076,25556
vuln_076_SC09,1,803,21092
vuln_077_SC09,1,792,18908
vuln_078_SC09,1,790,18988
vuln_079_SC09,1,790,18860
vuln_080_SC09,1,804,19668
vuln_081_SC09,1,793,18968
vuln_082_SC09,1,842,25756
vuln_083_SC09,1,789,18492
vuln_084_SC09,1,793,18828
vuln_085_SC09,1,790,19232
vuln_086_SC09,1,798,18884
vuln_087_SC01,0,14,12776
vuln_088_SC01,0,22,12560
vuln_089_SC01,0,19,12532
vuln_090_SC01,0,20,12852
vuln_091_SC01,0,21,12836
vuln_092_SC01,0,27,12712
vuln_093_SC01,0,10,11076
vuln_094_SC01,0,29,12760
vuln_095_SC01,0,29,12612
vuln_096_SC01,0,28,12716
vuln_097_SC01,0,20,12816
vuln_098_SC01,0,26,12596
